,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Construction_Laborers,similar_Construction_Laborers,empl_Construction_Laborers,auto_Construction_Laborers
645,Agricultural and Food Science Technicians,0.97,40470,20420,Agricultural and Food Science Technicians,-0.0637509266123,0.413459654,1.0,0.88
646,Payroll and Timekeeping Clerks,0.97,43580,159650,Payroll and Timekeeping Clerks,-0.130564479119,0.283963369,1.0,0.88
647,"Credit Authorizers, Checkers, and Clerks",0.97,39320,37680,"Credit Authorizers, Checkers, and Clerks",-0.0363682604273,0.282246612,1.0,0.88
648,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.97,21410,404360,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.769733769267,0.309213246,1.0,0.88
649,Models,0.98,36560,4390,Models,0.0363785557987,0.197705858,1.0,0.88
650,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.98,40340,518950,"Inspectors, Testers, Sorters, Samplers, and Weighers",-0.0607337630144,0.390961054,1.0,0.88
651,"Bookkeeping, Accounting, and Auditing Clerks",0.98,40220,1566960,"Bookkeeping, Accounting, and Auditing Clerks",-0.0579313774242,0.271862155,0.582082503701,0.88
652,Legal Secretaries,0.98,47900,191200,Legal Secretaries,-0.208977035491,0.244396629,1.0,0.88
653,Radio Operators,0.98,46780,870,Radio Operators,-0.190038477982,0.347209359,1.0,0.88
654,Driver/Sales Workers,0.98,28440,426310,Driver/Sales Workers,0.332278481013,0.322955647,1.0,0.88
655,"Claims Adjusters, Examiners, and Investigators",0.98,64990,274420,"Claims Adjusters, Examiners, and Investigators",-0.416987228804,0.323218788,1.0,0.88
656,Parts Salespersons,0.98,33220,248740,Parts Salespersons,0.140577965081,0.355878147,1.0,0.88
657,Credit Analysts,0.98,81160,72930,Credit Analysts,-0.533144406111,0.265741671,1.0,0.88
658,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.98,41180,17560,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.0798931520155,0.424763669,1.0,0.88
659,"Shipping, Receiving, and Traffic Clerks",0.98,33150,676990,"Shipping, Receiving, and Traffic Clerks",0.142986425339,0.367351574,1.0,0.88
660,Procurement Clerks,0.98,41980,72120,Procurement Clerks,-0.0974273463554,0.30528789,1.0,0.88
661,Packaging and Filling Machine Operators and Tenders,0.98,30910,386520,Packaging and Filling Machine Operators and Tenders,0.225816887739,0.583576922,1.0,0.88
662,Etchers and Engravers,0.98,34390,9520,Etchers and Engravers,0.101773771445,0.416350259,1.0,0.88
663,Tellers,0.98,28060,496760,Tellers,0.350320741269,0.301759563,1.0,0.88
664,"Umpires, Referees, and Other Sports Officials",0.98,35540,18660,"Umpires, Referees, and Other Sports Officials",0.0661226786719,0.312687417,1.0,0.88
665,"Insurance Appraisers, Auto Damage",0.98,65930,15130,"Insurance Appraisers, Auto Damage",-0.42529956014,0.375862516,1.0,0.88
666,Loan Officers,0.98,76260,305700,Loan Officers,-0.503147128245,0.2486913,1.0,0.88
667,Order Clerks,0.98,35160,176850,Order Clerks,0.0776450511945,0.325113345,1.0,0.88
668,Brokerage Clerks,0.98,52380,59820,Brokerage Clerks,-0.276632302405,0.25993616,1.0,0.88
669,Insurance Claims and Policy Processing Clerks,0.98,40780,274350,Insurance Claims and Policy Processing Clerks,-0.0708680725846,0.280329401,1.0,0.88
670,Timing Device Assemblers and Adjusters,0.98,42470,790,Timing Device Assemblers and Adjusters,-0.10784082882,0.385298499,1.0,0.88
671,Data Entry Keyers,0.99,31640,194810,Data Entry Keyers,0.197534766119,0.295968643,1.0,0.88
672,Library Technicians,0.99,34780,93410,Library Technicians,0.0894192064405,0.330217055,1.0,0.88
673,New Accounts Clerks,0.99,36480,41630,New Accounts Clerks,0.0386513157895,0.265747304,1.0,0.88
674,Photographic Process Workers and Processing Machine Operators,0.99,31740,26430,Photographic Process Workers and Processing Machine Operators,0.193761814745,0.335791613,1.0,0.88
675,Tax Preparers,0.99,45340,70030,Tax Preparers,-0.16431407146,0.305408692,1.0,0.88
676,Cargo and Freight Agents,0.99,44250,88920,Cargo and Freight Agents,-0.143728813559,0.346073419,1.0,0.88
677,Watch Repairers,0.99,39720,1620,Watch Repairers,-0.0460725075529,0.387459644,1.0,0.88
678,Insurance Underwriters,0.99,75480,91650,Insurance Underwriters,-0.498012718601,0.22580762,1.0,0.88
679,Mathematical Technicians,0.99,58490,510,Mathematical Technicians,-0.352196956745,0.123329619,1.0,0.88
680,"Sewers, Hand",0.99,25630,6540,"Sewers, Hand",0.478345688646,0.369231214,1.0,0.88
681,Telemarketers,0.99,27170,215290,Telemarketers,0.394552815605,0.219931367,1.0,0.88
