,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Heavy_and_Tractor-Trailer_Truck_Drivers,similar_Heavy_and_Tractor-Trailer_Truck_Drivers,empl_Heavy_and_Tractor-Trailer_Truck_Drivers,auto_Heavy_and_Tractor-Trailer_Truck_Drivers
643,Real Estate Brokers,0.97,79340,40850,Real Estate Brokers,-0.450592387194,0.26859859,1.0,0.79
644,Telephone Operators,0.97,43030,8860,Telephone Operators,0.0130141761562,0.30637744,1.0,0.79
645,Agricultural and Food Science Technicians,0.97,40470,20420,Agricultural and Food Science Technicians,0.0770941438102,0.386273258,1.0,0.79
646,Payroll and Timekeeping Clerks,0.97,43580,159650,Payroll and Timekeeping Clerks,0.000229463056448,0.290065031,1.0,0.79
647,"Credit Authorizers, Checkers, and Clerks",0.97,39320,37680,"Credit Authorizers, Checkers, and Clerks",0.108596134283,0.280670624,1.0,0.79
648,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.97,21410,404360,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.03596450257,0.303124416,1.0,0.79
649,Models,0.98,36560,4390,Models,0.192286652079,0.201617106,1.0,0.79
650,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.98,40340,518950,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.0805651958354,0.406415855,1.0,0.79
651,"Bookkeeping, Accounting, and Auditing Clerks",0.98,40220,1566960,"Bookkeeping, Accounting, and Auditing Clerks",0.0837891596221,0.283585141,1.0,0.79
652,Legal Secretaries,0.98,47900,191200,Legal Secretaries,-0.0899791231733,0.271827434,1.0,0.79
653,Radio Operators,0.98,46780,870,Radio Operators,-0.068191534844,0.424149776,1.0,0.79
654,Driver/Sales Workers,0.98,28440,426310,Driver/Sales Workers,0.532700421941,0.435081891,1.0,0.79
655,"Claims Adjusters, Examiners, and Investigators",0.98,64990,274420,"Claims Adjusters, Examiners, and Investigators",-0.329281427912,0.320748292,1.0,0.79
656,Parts Salespersons,0.98,33220,248740,Parts Salespersons,0.312161348585,0.41299722,1.0,0.79
657,Credit Analysts,0.98,81160,72930,Credit Analysts,-0.462912764909,0.282017987,1.0,0.79
658,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.98,41180,17560,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.0585235551238,0.463109207,1.0,0.79
659,"Shipping, Receiving, and Traffic Clerks",0.98,33150,676990,"Shipping, Receiving, and Traffic Clerks",0.314932126697,0.411628998,1.0,0.79
660,Procurement Clerks,0.98,41980,72120,Procurement Clerks,0.0383515959981,0.313917843,1.0,0.79
661,Packaging and Filling Machine Operators and Tenders,0.98,30910,386520,Packaging and Filling Machine Operators and Tenders,0.410223228729,0.551625766,1.0,0.79
662,Etchers and Engravers,0.98,34390,9520,Etchers and Engravers,0.267519627799,0.422509564,1.0,0.79
663,Tellers,0.98,28060,496760,Tellers,0.553456878118,0.306444869,1.0,0.79
664,"Umpires, Referees, and Other Sports Officials",0.98,35540,18660,"Umpires, Referees, and Other Sports Officials",0.226505346089,0.331501775,1.0,0.79
665,"Insurance Appraisers, Auto Damage",0.98,65930,15130,"Insurance Appraisers, Auto Damage",-0.338844228727,0.440264757,1.0,0.79
666,Loan Officers,0.98,76260,305700,Loan Officers,-0.428402832415,0.245403462,1.0,0.79
667,Order Clerks,0.98,35160,176850,Order Clerks,0.23976109215,0.345824438,1.0,0.79
668,Brokerage Clerks,0.98,52380,59820,Brokerage Clerks,-0.167812142039,0.283122369,1.0,0.79
669,Insurance Claims and Policy Processing Clerks,0.98,40780,274350,Insurance Claims and Policy Processing Clerks,0.0689063266307,0.297934468,1.0,0.79
670,Timing Device Assemblers and Adjusters,0.98,42470,790,Timing Device Assemblers and Adjusters,0.0263715563927,0.406363382,1.0,0.79
671,Data Entry Keyers,0.99,31640,194810,Data Entry Keyers,0.377686472819,0.315021876,1.0,0.79
672,Library Technicians,0.99,34780,93410,Library Technicians,0.253306497987,0.371207437,1.0,0.79
673,New Accounts Clerks,0.99,36480,41630,New Accounts Clerks,0.194901315789,0.262547983,1.0,0.79
674,Photographic Process Workers and Processing Machine Operators,0.99,31740,26430,Photographic Process Workers and Processing Machine Operators,0.373345935728,0.429201144,1.0,0.79
675,Tax Preparers,0.99,45340,70030,Tax Preparers,-0.0385972651081,0.295466998,1.0,0.79
676,Cargo and Freight Agents,0.99,44250,88920,Cargo and Freight Agents,-0.0149152542373,0.383707709,1.0,0.79
677,Watch Repairers,0.99,39720,1620,Watch Repairers,0.0974320241692,0.403226744,1.0,0.79
678,Insurance Underwriters,0.99,75480,91650,Insurance Underwriters,-0.422496025437,0.23501935,1.0,0.79
679,Mathematical Technicians,0.99,58490,510,Mathematical Technicians,-0.254744400752,0.134930992,1.0,0.79
680,"Sewers, Hand",0.99,25630,6540,"Sewers, Hand",0.700741318767,0.360979107,1.0,0.79
681,Telemarketers,0.99,27170,215290,Telemarketers,0.604343025396,0.224400411,1.0,0.79
